fecha;cdoperador;cdpunto_atencion;dia_semana;recaudo_cat_I;recaudo_cat_II;recaudo_cat_III;recaudo_cat_IV;recaudo_cat_V;recaudo_cat_VI;recaudo_cat_VII;recaudo_cat_VIII;recaudo_total_diario;movimientos_diarios_operador
1/01/2025;1;1;Miercoles;4128000.00;688000.00;857500.00;20342700.00;76620800.00;482400.00;723600.00;1088500.00;104931500.00;5262
1/01/2025;1;3;Miercoles;0.00;0.00;77000.00;2576800.00;49783400.00;0.00;0.00;77000.00;52514200.00;4092
2/01/2025;1;3;Jueves;0.00;0.00;1447600.00;4533400.00;57200900.00;0.00;68000.00;323400.00;63573300.00;4941
2/01/2025;1;1;Jueves;28982000.00;6372900.00;20695700.00;37432200.00;78292300.00;3781100.00;10009800.00;12823700.00;198389700.00;7754
3/01/2025;1;1;Viernes;28458100.00;9263800.00;24738800.00;37800400.00;74117900.00;6107600.00;13446900.00;14941800.00;208875300.00;7974
3/01/2025;1;3;Viernes;0.00;0.00;1863400.00;4543600.00;60110300.00;374000.00;578000.00;277200.00;67746500.00;5225
4/01/2025;1;1;Sabado;14654600.00;5401200.00;14361500.00;42739200.00;88497000.00;4488400.00;8864100.00;7641500.00;186647500.00;7915
4/01/2025;1;3;Sabado;0.00;0.00;1339800.00;4328000.00;66909300.00;0.00;102000.00;292600.00;72971700.00;5671
5/01/2025;1;1;Domingo;12186300.00;4652900.00;5481100.00;38812000.00;85048600.00;3393600.00;4126100.00;4110800.00;157811400.00;6924
5/01/2025;1;3;Domingo;0.00;0.00;246400.00;3406500.00;64961700.00;0.00;68000.00;30800.00;68713400.00;5340
6/01/2025;1;3;Lunes;0.00;0.00;539000.00;3459000.00;45572500.00;0.00;0.00;215600.00;49786100.00;3877
6/01/2025;1;1;Lunes;7310000.00;1298900.00;6117700.00;35258100.00;71387600.00;1481800.00;1748700.00;2899700.00;127502500.00;5846
7/01/2025;1;3;Martes;0.00;0.00;2094400.00;4948100.00;67184300.00;204000.00;1700000.00;628900.00;76759700.00;5858
7/01/2025;1;1;Martes;39706300.00;11060400.00;30773300.00;38026700.00;65573700.00;7749300.00;20592700.00;19121800.00;232604200.00;8143
8/01/2025;1;3;Miercoles;0.00;0.00;2356200.00;5067400.00;68778700.00;204000.00;714000.00;1647800.00;78768100.00;6046
8/01/2025;1;1;Miercoles;37462400.00;9675500.00;30871400.00;38030100.00;67548800.00;8960500.00;19760600.00;19219700.00;231529000.00;8231
